B427    1 1171  
B4281   1 1171  
B4282   1 1171  
B4289   1 1171  
B429    1 1171  
B430    1 1172  
B431    1 1172  
B432    1 1172  
B438    1 1172  
B439    1 1172  
B440    2 1173  4846  
B441    1 1173  
B442    1 1173  
B447    1 1173  
B4481   1 5186  
B4489   1 1173  
B449    1 1173  
B450    1 1175  
B451    2 1175  3210  
B452    1 1175  
B453    1 1175  
B457    1 1175  
B458    1 1175  
B459    1 1175  
B460    1 1177  
B461    1 1177  
B462    1 1177  
B463    1 1177  
B464    1 1177  
B465    1 1177  
B468    1 1177  
B469    1 1177  
B470    1 1174  
B471    1 0399  
B479    1 0394  
B480    1 1162  
B481    1 1170  
B482    1 1176  
B483    1 1179  
B484    1 1173  
B488    1 118   
B49     1 1179  
B500    1 0849  
B508    1 0849  
B509    1 0840  
B510    1 0849  
B518    1 0849  
B519    1 0841  
B520    2 0849  58181 
B528    1 0849  
B529    1 0845  
B530    1 0843  
B531    1 0844  
B538    1 0844  
B54     1 0846  
B550    1 0850  
B551    1 0854  
B552    1 0855  
B559    1 0859  
B560    1 0863  
B561    1 0864  
B569    1 0865  
B570    1 0860  
B571    1 0862  
B572    1 0860  
B5730   1 0861  
B5731   1 0861  
B5732   1 0861  
B5739   1 0861  
B5740   1 0861  
B5741   1 0861  
B5742   1 0861  
B5749   1 0861  
B575    1 0861  
B5800   1 1307  
B5801   1 1302  
B5809   1 1301  
B581    1 1305  
B582    1 1300  
B583    1 1304  
B5881   1 1303  
B5882   1 1307  
B5883   1 1307  
B5889   1 1307  
B589    1 1309  
B59     1 1363  
B600    1 08882 
B6010   1 13629 
B6011   1 13621 
B6012   2 13621 37215 
B6013   2 13621 3708  
B6019   1 13629 
B602    1 13629 
B608    1 1368  
B64     1 1369  
B650    1 1200  
B651    1 1201  
B652    1 1202  
B653    1 1203  
B658    1 1208  
B659    1 1209  
B660    1 1210  
B661    1 1211  
B662    1 1218  
B663    1 1213  
B664    1 1212  
B665    1 1214  
B668    1 1218  
B669    1 1219  
B670    1 1220  
B671    1 1221  
B672    1 1223  
B6731   1 1222  
B6732   1 1223  
B6739   1 1223  
B674    1 1224  
B675    1 1225  
B6761   1 1226  
B6769   1 1226  
B677    1 1227  
B678    1 1228  
B6790   1 1229  
B6799   1 1229  
B680    1 1230  
B681    1 1232  
B689    1 1233  
B690    1 1231  
B691    1 1231  
B6981   1 1231  
B6989   1 1231  
B699    1 1231  
B700    1 1234  
B701    1 1235  
B710    1 1236  
B711    1 1238  
B718    1 1238  
B719    1 1239  
B72     1 1257  
B7300   1 1253  
B7301   1 1253  
B7302   1 1253  
B7309   1 1253  
B731    1 1253  
B740    1 1250  
B741    1 1251  
B742    1 1256  
B743    1 1252  
B744    1 1255  
B748    1 1256  
B749    1 1259  
B75     1 124   
B760    1 1268  
B761    1 1261  
B768    1 1269  
B769    1 1269  
B770    1 1270  
B7781   2 1270  4848  
B7789   1 1270  
B779    1 1270  
B780    1 1272  
B781    1 6868  
B787    1 1272  
B789    1 1272  
B79     1 1273  
B80     1 1274  
B810    1 1271  
B811    1 1275  
B812    1 1276  
B813    1 1277  
B814    1 1278  
B818    1 1277  
B820    1 1279  
B829    1 129   
B830    1 1280  
B831    1 1281  
B832    1 1288  
B833    1 1288  
B834    1 1342  
B838    1 1288  
B839    1 1289  
B850    1 1320  
B851    1 1321  
B852    1 1329  
B853    1 1322  
B854    1 1323  
B86     1 1330  
B870    1 1340  
B871    1 1340  
B872    1 1340  
B873    1 1340  
B874    1 1340  
B8781   1 1340  
B8782   1 1340  
B8789   1 1340  
B879    1 1340  
B880    1 1338  
B881    1 1341  
B882    1 1341  
B883    1 1342  
B888    1 1348  
B889    1 1349  
B89     1 1369  
B900    1 1371  
B901    1 1372  
B902    1 1373  
B908    1 1374  
B909    1 1370  
B91     1 138   
B92     1 1398  
B940    1 1391  
B941    1 1390  
B942    1 1398  
B948    1 1398  
B949    1 1398  
B950    1 04101 
B951    1 04102 
B952    1 04104 
B953    1 04109 
B954    1 04109 
B955    1 04100 
B9561   1 04111 
B9562   1 04112 
B957    1 04119 
B958    1 04110 
B960    1 04181 
B961    1 0413  
B9620   1 04149 
B9621   1 04141 
B9622   1 04142 
B9623   1 04143 
B9629   1 04149 
B963    1 0415  
B964    1 0416  
B965    1 0417  
B966    1 04182 
B967    1 04183 
B9681   1 04186 
B9682   1 04184 
B9689   1 04189 
B970    1 0790  
B9710   1 07999 
B9711   1 0792  
B9712   1 0791  
B9719   1 07989 
B9721   1 07982 
B9729   1 07989 
B9730   1 07950 
B9731   1 07959 
B9732   1 07959 
B9733   1 07951 
B9734   1 07952 
B9735   1 07953 
B9739   1 07959 
B974    1 0796  
B975    1 07989 
B976    1 07989 
B977    1 0794  
B9781   1 07989 
B9789   1 07999 
B998    1 1368  
B999    1 1369  
C000    1 1400  
C001    1 1401  
C002    1 1409  
C003    1 1403  
C004    1 1404  
C005    1 1405  
C006    1 1406  
C008    1 1408  
C009    1 1409  
C01     1 1410  
C020    1 1411  
C021    1 1412  
C022    1 1413  
C023    1 1414  
C024    1 1416  
C028    1 1418  
C029    1 1419  
C030    1 1430  
C031    1 1431  
C039    1 1439  
C040    1 1440  
C041    1 1441  
C048    1 1448  
C049    1 1449  
C050    1 1452  
C051    1 1453  
C052    1 1454  
C058    1 1455  
C059    1 1455  
C060    1 1450  
C061    1 1451  
C062    1 1456  
C0680   1 1458  
C0689   1 1458  
C069    1 1459  
C07     1 1420  
C080    1 1421  
C081    1 1422  
C089    1 1429  
C090    1 1461  
C091    1 1462  
C098    1 1460  
C099    1 1460  
C100    1 1463  
C101    1 1464  
C102    1 1466  
C103    1 1467  
C104    1 1468  
C108    1 1468  
C109    1 1469  
C110    1 1470  
C111    1 1471  
C112    1 1472  
C113    1 1473  
C118    1 1478  
C119    1 1479  
C12     1 1481  
C130    1 1480  
C131    1 1482  
C132    1 1483  
C138    1 1488  
C139    1 1489  
C140    1 1490  
C142    1 1491  
C148    1 1498  
C153    1 1503  
C154    1 1504  
C155    1 1505  
C158    1 1508  
C159    1 1509  
C160    1 1510  
C161    1 1513  
C162    1 1514  
C163    1 1512  
C164    1 1511  
C165    1 1515  
C166    1 1516  
C168    1 1518  
C169    1 1519  
C170    1 1520  
C171    1 1521  
C172    1 1522  
C173    1 1523  
C178    1 1528  
C179    1 1529  
C180    1 1534  
C181    1 1535  
C182    1 1536  
C183    1 1530  
C184    1 1531  
C185    1 1537  
C186    1 1532  
C187    1 1533  
C188    1 1538  
C189    1 1539  
C19     1 1540  
C20     1 1541  
C210    1 1543  
C211    1 1542  
C212    1 1548  
C218    1 1548  
C220    1 1550  
C221    1 1551  
C222    1 1550  
C223    1 1550  
C224    1 1550  
C227    1 1550  
C228    1 1550  
C229    1 1552  
C23     1 1560  
C240    1 1561  
C241    1 1562  
C248    1 1568  
C249    1 1569  
C250    1 1570  
C251    1 1571  
C252    1 1572  
C253    1 1573  
C254    1 1574  
C257    1 1578  
C258    1 1578  
C259    1 1579  
C260    1 1590  
C261    1 1591  
C269    1 1599  
C300    1 1600  
C301    1 1601  
C310    1 1602  
C311    1 1603  
C312    1 1604  
C313    1 1605  
C318    1 1608  
C319    1 1609  
C320    1 1610  
C321    1 1611  
C322    1 1612  
C323    1 1613  
C328    1 1618  
C329    1 1619  
C33     1 1620  
C3400   1 1622  
C3401   1 1622  
C3402   1 1622  
C3410   1 1623  
C3411   1 1623  
C3412   1 1623  
C342    1 1624  
C3430   1 1625  
C3431   1 1625  
C3432   1 1625  
C3480   1 1628  
C3481   1 1628  
C3482   1 1628  
C3490   1 1629  
C3491   1 1629  
C3492   1 1629  
C37     1 1640  
C380    1 1641  
C381    1 1642  
C382    1 1643  
C383    1 1649  
C384    1 1639  
C388    1 1648  
C390    1 1650  
C399    1 1659  
C4000   1 1704  
C4001   1 1704  
C4002   1 1704  
C4010   1 1705  
C4011   1 1705  
C4012   1 1705  
C4020   1 1707  
C4021   1 1707  
C4022   1 1707  
C4030   1 1708  
C4031   1 1708  
C4032   1 1708  
C4080   1 1709  
C4081   1 1709  
C4082   1 1709  
C4090   1 1709  
C4091   1 1709  
C4092   1 1709  
C410    1 1700  
C411    1 1701  
C412    1 1702  
C413    1 1703  
C414    1 1706  
C419    1 1709  
C430    1 1720  
C4310   1 1721  
C4311   1 1721  
C4312   1 1721  
C4320   1 1722  
C4321   1 1722  
C4322   1 1722  
C4330   1 1723  
C4331   1 1723  
C4339   1 1723  
C434    1 1724  
C4351   1 1725  
C4352   1 1725  
C4359   1 1725  
C4360   1 1726  
C4361   1 1726  
C4362   1 1726  
